,States,x,y
0,Jammu And Kashmir,-98.0,216.0
1,Himachal Pradesh,-84.0,160.0
2,Punjab,-128.0,136.0
3,Uttarakhand,-48.0,126.0
4,Haryana,-104.0,109.0
5,Rajasthan,-137.0,81.0
6,Gujarat,-185.0,4.0
7,Madhya Pradesh,-81.0,-4.0
8,Maharashtra,-109.0,-68.0
9,Goa,-137.0,-138.0
10,Karnataka,-110.0,-148.0
11,Kerala,-93.0,-226.0
12,Tamil Nadu,-65.0,-215.0
13,Andhar Pradesh,-61.0,-126.0
14,Odisha,19.0,-48.0
15,Chattisgarh,-13.0,-27.0
16,Jharkhand,43.0,12.0
17,Bihar,47.0,45.0
18,Uttar Pradesh,-5.0,56.0
19,West Bengal,83.0,3.0
20,Sikkim,97.0,78.0
21,Assam,169.0,58.0
22,Meghalaya,141.0,40.0
23,Tripura,151.0,8.0
24,Mizoram,170.0,6.0
25,Manipur,190.0,32.0
26,Nagaland,196.0,54.0
27,Arunchal Pradesh,200.0,96.0
